split	family	scenario	root	regime	center_distance	family_code	expert	budget	attempt_wall_us	accepted	execution_failure	gate_mismatch	terminal_wall_us
training	ConditionedQuadratic	0	1.2214285714285713	0.00390625	0.49609375	0	conditioned-low-v1	0	37.790999999999997	1	0	0	154.666
training	ConditionedQuadratic	0	1.2214285714285713	0.00390625	0.49609375	0	conditioned-low-v1	2	34.459000000000003	1	0	0	154.666
training	ConditionedQuadratic	0	1.2214285714285713	0.00390625	0.49609375	0	conditioned-low-v1	3	32.25	1	0	0	154.666
training	ConditionedQuadratic	0	1.2214285714285713	0.00390625	0.49609375	0	conditioned-low-v1	4	31.875	1	0	0	154.666
training	ConditionedQuadratic	0	1.2214285714285713	0.00390625	0.49609375	0	conditioned-middle-v1	0	63.582999999999998	0	0	0	154.666
training	ConditionedQuadratic	0	1.2214285714285713	0.00390625	0.49609375	0	conditioned-middle-v1	2	137.042	0	0	0	154.666
training	ConditionedQuadratic	0	1.2214285714285713	0.00390625	0.49609375	0	conditioned-middle-v1	3	173	1	0	0	154.666
training	ConditionedQuadratic	0	1.2214285714285713	0.00390625	0.49609375	0	conditioned-middle-v1	4	172.083	1	0	0	154.666
training	ConditionedQuadratic	0	1.2214285714285713	0.00390625	0.49609375	0	conditioned-high-v1	0	56.793000000000006	0	0	0	154.666
training	ConditionedQuadratic	0	1.2214285714285713	0.00390625	0.49609375	0	conditioned-high-v1	2	130.87499999999997	0	0	0	154.666
training	ConditionedQuadratic	0	1.2214285714285713	0.00390625	0.49609375	0	conditioned-high-v1	3	167.792	1	0	0	154.666
training	ConditionedQuadratic	0	1.2214285714285713	0.00390625	0.49609375	0	conditioned-high-v1	4	167.125	1	0	0	154.666
training	ConditionedQuadratic	1	1.3523809523809522	0.01953125	0.48046875	0	conditioned-low-v1	0	33.582999999999998	1	0	0	151.708
training	ConditionedQuadratic	1	1.3523809523809522	0.01953125	0.48046875	0	conditioned-low-v1	2	31.875	1	0	0	151.708
training	ConditionedQuadratic	1	1.3523809523809522	0.01953125	0.48046875	0	conditioned-low-v1	3	31.792000000000002	1	0	0	151.708
training	ConditionedQuadratic	1	1.3523809523809522	0.01953125	0.48046875	0	conditioned-low-v1	4	31.667000000000002	1	0	0	151.708
training	ConditionedQuadratic	1	1.3523809523809522	0.01953125	0.48046875	0	conditioned-middle-v1	0	61.292000000000002	0	0	0	151.708
training	ConditionedQuadratic	1	1.3523809523809522	0.01953125	0.48046875	0	conditioned-middle-v1	2	137.54199999999997	0	0	0	151.708
training	ConditionedQuadratic	1	1.3523809523809522	0.01953125	0.48046875	0	conditioned-middle-v1	3	169.25	1	0	0	151.708
training	ConditionedQuadratic	1	1.3523809523809522	0.01953125	0.48046875	0	conditioned-middle-v1	4	165.791	1	0	0	151.708
training	ConditionedQuadratic	1	1.3523809523809522	0.01953125	0.48046875	0	conditioned-high-v1	0	56.292000000000002	0	0	0	151.708
training	ConditionedQuadratic	1	1.3523809523809522	0.01953125	0.48046875	0	conditioned-high-v1	2	127.33300000000003	0	0	0	151.708
training	ConditionedQuadratic	1	1.3523809523809522	0.01953125	0.48046875	0	conditioned-high-v1	3	162.25	1	0	0	151.708
training	ConditionedQuadratic	1	1.3523809523809522	0.01953125	0.48046875	0	conditioned-high-v1	4	162.083	1	0	0	151.708
training	ConditionedQuadratic	2	1.4833333333333332	0.03515625	0.46484375	0	conditioned-low-v1	0	32.417000000000002	1	0	0	153.667
training	ConditionedQuadratic	2	1.4833333333333332	0.03515625	0.46484375	0	conditioned-low-v1	2	31.875	1	0	0	153.667
training	ConditionedQuadratic	2	1.4833333333333332	0.03515625	0.46484375	0	conditioned-low-v1	3	32.540999999999997	1	0	0	153.667
training	ConditionedQuadratic	2	1.4833333333333332	0.03515625	0.46484375	0	conditioned-low-v1	4	31.916	1	0	0	153.667
training	ConditionedQuadratic	2	1.4833333333333332	0.03515625	0.46484375	0	conditioned-middle-v1	0	59.625	0	0	0	153.667
training	ConditionedQuadratic	2	1.4833333333333332	0.03515625	0.46484375	0	conditioned-middle-v1	2	131.08199999999999	0	0	0	153.667
training	ConditionedQuadratic	2	1.4833333333333332	0.03515625	0.46484375	0	conditioned-middle-v1	3	165.834	1	0	0	153.667
training	ConditionedQuadratic	2	1.4833333333333332	0.03515625	0.46484375	0	conditioned-middle-v1	4	165.709	1	0	0	153.667
training	ConditionedQuadratic	2	1.4833333333333332	0.03515625	0.46484375	0	conditioned-high-v1	0	55.292000000000002	0	0	0	153.667
training	ConditionedQuadratic	2	1.4833333333333332	0.03515625	0.46484375	0	conditioned-high-v1	2	128.291	0	0	0	153.667
training	ConditionedQuadratic	2	1.4833333333333332	0.03515625	0.46484375	0	conditioned-high-v1	3	161.708	1	0	0	153.667
training	ConditionedQuadratic	2	1.4833333333333332	0.03515625	0.46484375	0	conditioned-high-v1	4	161.583	1	0	0	153.667
training	ConditionedQuadratic	3	1.6142857142857143	0.05078125	0.44921875	0	conditioned-low-v1	0	32.332999999999998	1	0	0	151.834
training	ConditionedQuadratic	3	1.6142857142857143	0.05078125	0.44921875	0	conditioned-low-v1	2	32	1	0	0	151.834
training	ConditionedQuadratic	3	1.6142857142857143	0.05078125	0.44921875	0	conditioned-low-v1	3	32.832999999999998	1	0	0	151.834
training	ConditionedQuadratic	3	1.6142857142857143	0.05078125	0.44921875	0	conditioned-low-v1	4	31.917000000000002	1	0	0	151.834
training	ConditionedQuadratic	3	1.6142857142857143	0.05078125	0.44921875	0	conditioned-middle-v1	0	58.707999999999998	0	0	0	151.834
