split	matrix	request	rows	nonzeros	positive_definite	action_count	terminal_wall_us	terminal_success	terminal_attempt_count
training	msc00726	smooth-tol6	726	34518	1	10	2853.875	1	1
training	msc00726	smooth-tol10	726	34518	1	10	3222.3330000000001	1	1
training	msc00726	oscillatory-tol6	726	34518	1	10	2739.0419999999999	1	1
training	msc00726	oscillatory-tol10	726	34518	1	10	3241.2089999999998	1	1
training	msc00726	sparse-tol6	726	34518	1	10	2548.75	1	1
training	msc00726	sparse-tol10	726	34518	1	10	3205.5419999999999	1	1
training	msc00726	random-like-tol6	726	34518	1	10	3066.0830000000001	1	1
training	msc00726	random-like-tol10	726	34518	1	10	3194.2919999999999	1	1
training	crystm01	smooth-tol6	4875	105339	1	10	40768.834000000003	1	3
training	crystm01	smooth-tol10	4875	105339	1	10	40969.251000000004	1	3
training	crystm01	oscillatory-tol6	4875	105339	1	10	2100.7919999999999	1	1
training	crystm01	oscillatory-tol10	4875	105339	1	10	2139.3339999999998	1	1
training	crystm01	sparse-tol6	4875	105339	1	10	40068.5	1	3
training	crystm01	sparse-tol10	4875	105339	1	10	41136.792000000001	1	3
training	crystm01	random-like-tol6	4875	105339	1	10	40633.626000000004	1	3
training	crystm01	random-like-tol10	4875	105339	1	10	40571.75	1	3
training	bfwb398	smooth-tol6	398	2910	0	11	3324.375	1	3
training	bfwb398	smooth-tol10	398	2910	0	11	3744.8759999999997	1	3
training	bfwb398	oscillatory-tol6	398	2910	0	11	3297.7919999999999	1	3
training	bfwb398	oscillatory-tol10	398	2910	0	11	3415.4589999999998	1	3
training	bfwb398	sparse-tol6	398	2910	0	11	3254.0839999999998	1	3
training	bfwb398	sparse-tol10	398	2910	0	11	3278.7070000000003	1	3
training	bfwb398	random-like-tol6	398	2910	0	11	3549.0419999999999	1	3
training	bfwb398	random-like-tol10	398	2910	0	11	3506.7070000000003	1	3
training	saylr4	smooth-tol6	3564	22316	0	6	6627.5420000000004	1	1
training	saylr4	smooth-tol10	3564	22316	0	6	15654.708000000001	1	1
training	saylr4	oscillatory-tol6	3564	22316	0	6	1197.7080000000001	1	1
training	saylr4	oscillatory-tol10	3564	22316	0	6	10095.5	1	1
training	saylr4	sparse-tol6	3564	22316	0	6	1180.2080000000001	1	1
training	saylr4	sparse-tol10	3564	22316	0	6	10349.5	1	1
training	saylr4	random-like-tol6	3564	22316	0	6	1335	1	1
training	saylr4	random-like-tol10	3564	22316	0	6	8657.4590000000007	1	1
training	impcol_e	smooth-tol6	225	1303	0	11	249.459	1	3
training	impcol_e	smooth-tol10	225	1303	0	11	254.208	1	3
training	impcol_e	oscillatory-tol6	225	1303	0	11	251.667	1	3
training	impcol_e	oscillatory-tol10	225	1303	0	11	225.875	1	3
training	impcol_e	sparse-tol6	225	1303	0	11	220.501	1	3
training	impcol_e	sparse-tol10	225	1303	0	11	217.417	1	3
training	impcol_e	random-like-tol6	225	1303	0	11	188.833	1	3
training	impcol_e	random-like-tol10	225	1303	0	11	178.124	1	3
training	west0479	smooth-tol6	479	1888	0	11	644.16699999999992	1	3
training	west0479	smooth-tol10	479	1888	0	11	635.16599999999994	1	3
training	west0479	oscillatory-tol6	479	1888	0	11	639.375	1	3
training	west0479	oscillatory-tol10	479	1888	0	11	643.375	1	3
training	west0479	sparse-tol6	479	1888	0	11	671.41699999999992	1	3
training	west0479	sparse-tol10	479	1888	0	11	611	1	3
training	west0479	random-like-tol6	479	1888	0	11	622.45799999999997	1	3
training	west0479	random-like-tol10	479	1888	0	11	618.62400000000002	1	3
calibration	nasa2910	smooth-tol6	2910	174296	1	10	36447.040999999997	1	3
calibration	nasa2910	smooth-tol10	2910	174296	1	10	36299.207999999999	1	3
calibration	nasa2910	oscillatory-tol6	2910	174296	1	10	46460.417000000001	1	3
calibration	nasa2910	oscillatory-tol10	2910	174296	1	10	45918.832999999999	1	3
calibration	nasa2910	sparse-tol6	2910	174296	1	10	34939	1	3
calibration	nasa2910	sparse-tol10	2910	174296	1	10	34245.081999999995	1	3
calibration	nasa2910	random-like-tol6	2910	174296	1	10	26015.415999999997	1	2
calibration	nasa2910	random-like-tol10	2910	174296	1	10	28119.626	1	3
calibration	G10	smooth-tol6	800	38352	0	10	10498.5	1	3
calibration	G10	smooth-tol10	800	38352	0	10	10321.625	1	3
calibration	G10	oscillatory-tol6	800	38352	0	10	10579.584000000001	1	3
calibration	G10	oscillatory-tol10	800	38352	0	10	10984.083000000001	1	3
calibration	G10	sparse-tol6	800	38352	0	10	10317.290999999999	1	3
calibration	G10	sparse-tol10	800	38352	0	10	10573.75	1	3
calibration	G10	random-like-tol6	800	38352	0	10	10744.833000000001	1	3
calibration	G10	random-like-tol10	800	38352	0	10	10901.418000000001	1	3
calibration	ck400	smooth-tol6	400	2860	0	11	418.375	1	1
calibration	ck400	smooth-tol10	400	2860	0	11	443.25	1	1
calibration	ck400	oscillatory-tol6	400	2860	0	11	422.75	1	1
