split	matrix	request	repetition	schedule_position	attempt_index	backend	budget	executed_iterations	status	wall_us	residual_inf
training	msc00726	smooth-tol6	0	10	0	pcg-ic0-cpu-v1	250	29	accepted	3699.875	285.48515678057447
training	msc00726	smooth-tol6	1	3	0	pcg-ic0-cpu-v1	250	29	accepted	4109.0829999999996	285.48515678057447
training	msc00726	smooth-tol6	2	6	0	pcg-ic0-cpu-v1	250	29	accepted	3485.4160000000002	285.48515678057447
training	msc00726	smooth-tol6	3	7	0	pcg-ic0-cpu-v1	250	29	accepted	2757.5	285.48515678057447
training	msc00726	smooth-tol6	4	2	0	pcg-ic0-cpu-v1	250	29	accepted	3016.4160000000002	285.48515678057447
training	msc00726	smooth-tol10	0	10	0	pcg-ic0-cpu-v1	250	38	accepted	4993.4579999999996	0.043283253908157349
training	msc00726	smooth-tol10	1	3	0	pcg-ic0-cpu-v1	250	38	accepted	5992.9579999999996	0.043283253908157349
training	msc00726	smooth-tol10	2	6	0	pcg-ic0-cpu-v1	250	38	accepted	5313.9579999999996	0.043283253908157349
training	msc00726	smooth-tol10	3	7	0	pcg-ic0-cpu-v1	250	38	accepted	4435.0420000000004	0.043283253908157349
training	msc00726	smooth-tol10	4	2	0	pcg-ic0-cpu-v1	250	38	accepted	3910.5830000000001	0.043283253908157349
training	msc00726	oscillatory-tol6	0	10	0	pcg-ic0-cpu-v1	250	28	accepted	4468.5	594.58438342809677
training	msc00726	oscillatory-tol6	1	3	0	pcg-ic0-cpu-v1	250	28	accepted	4740.375	594.58438342809677
training	msc00726	oscillatory-tol6	2	6	0	pcg-ic0-cpu-v1	250	28	accepted	4281.25	594.58438342809677
training	msc00726	oscillatory-tol6	3	7	0	pcg-ic0-cpu-v1	250	28	accepted	4484.5829999999996	594.58438342809677
training	msc00726	oscillatory-tol6	4	2	0	pcg-ic0-cpu-v1	250	28	accepted	4365.25	594.58438342809677
training	msc00726	oscillatory-tol10	0	10	0	pcg-ic0-cpu-v1	250	38	accepted	5571.7920000000004	0.083779033273458481
training	msc00726	oscillatory-tol10	1	3	0	pcg-ic0-cpu-v1	250	38	accepted	4330.9160000000002	0.083779033273458481
training	msc00726	oscillatory-tol10	2	6	0	pcg-ic0-cpu-v1	250	38	accepted	5012.3339999999998	0.083779033273458481
training	msc00726	oscillatory-tol10	3	7	0	pcg-ic0-cpu-v1	250	38	accepted	5862.75	0.083779033273458481
training	msc00726	oscillatory-tol10	4	2	0	pcg-ic0-cpu-v1	250	38	accepted	3828.8330000000001	0.083779033273458481
training	msc00726	sparse-tol6	0	10	0	pcg-ic0-cpu-v1	250	23	accepted	3891.4160000000002	1172.8703315556049
training	msc00726	sparse-tol6	1	3	0	pcg-ic0-cpu-v1	250	23	accepted	2777	1172.8703315556049
training	msc00726	sparse-tol6	2	6	0	pcg-ic0-cpu-v1	250	23	accepted	3360.9580000000001	1172.8703315556049
training	msc00726	sparse-tol6	3	7	0	pcg-ic0-cpu-v1	250	23	accepted	3678	1172.8703315556049
training	msc00726	sparse-tol6	4	2	0	pcg-ic0-cpu-v1	250	23	accepted	3135.2919999999999	1172.8703315556049
training	msc00726	sparse-tol10	0	10	0	pcg-ic0-cpu-v1	250	37	accepted	12900.541999999999	0.048802018165588379
training	msc00726	sparse-tol10	1	3	0	pcg-ic0-cpu-v1	250	37	accepted	4249.7089999999998	0.048802018165588379
training	msc00726	sparse-tol10	2	6	0	pcg-ic0-cpu-v1	250	37	accepted	4097.875	0.048802018165588379
training	msc00726	sparse-tol10	3	7	0	pcg-ic0-cpu-v1	250	37	accepted	5097.4160000000002	0.048802018165588379
training	msc00726	sparse-tol10	4	2	0	pcg-ic0-cpu-v1	250	37	accepted	5594.2089999999998	0.048802018165588379
training	msc00726	random-like-tol6	0	10	0	pcg-ic0-cpu-v1	250	27	accepted	4221.25	2221.9618750810623
training	msc00726	random-like-tol6	1	3	0	pcg-ic0-cpu-v1	250	27	accepted	3921.375	2221.9618750810623
training	msc00726	random-like-tol6	2	6	0	pcg-ic0-cpu-v1	250	27	accepted	3340.8330000000001	2221.9618750810623
training	msc00726	random-like-tol6	3	7	0	pcg-ic0-cpu-v1	250	27	accepted	2671.0830000000001	2221.9618750810623
training	msc00726	random-like-tol6	4	2	0	pcg-ic0-cpu-v1	250	27	accepted	3344.4589999999998	2221.9618750810623
training	msc00726	random-like-tol10	0	10	0	pcg-ic0-cpu-v1	250	38	accepted	4248.1670000000004	0.20242404937744141
training	msc00726	random-like-tol10	1	3	0	pcg-ic0-cpu-v1	250	38	accepted	4257.6670000000004	0.20242404937744141
training	msc00726	random-like-tol10	2	6	0	pcg-ic0-cpu-v1	250	38	accepted	3377.25	0.20242404937744141
training	msc00726	random-like-tol10	3	7	0	pcg-ic0-cpu-v1	250	38	accepted	3719.2919999999999	0.20242404937744141
training	msc00726	random-like-tol10	4	2	0	pcg-ic0-cpu-v1	250	38	accepted	4176.3339999999998	0.20242404937744141
training	crystm01	smooth-tol6	0	10	0	pcg-ic0-cpu-v1	250	0	gate-rejected	2976.25	6.8011308530208703e-12
training	crystm01	smooth-tol6	0	10	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	135.166	6.8011308530208703e-12
training	crystm01	smooth-tol6	0	10	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	54265.084000000003	2.3426013441443167e-26
training	crystm01	smooth-tol6	1	3	0	pcg-ic0-cpu-v1	250	0	gate-rejected	2109.9169999999999	6.8011308530208703e-12
training	crystm01	smooth-tol6	1	3	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	131.958	6.8011308530208703e-12
training	crystm01	smooth-tol6	1	3	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	48726.917000000001	2.3426013441443167e-26
training	crystm01	smooth-tol6	2	6	0	pcg-ic0-cpu-v1	250	0	gate-rejected	5060.5420000000004	6.8011308530208703e-12
training	crystm01	smooth-tol6	2	6	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	420.709	6.8011308530208703e-12
training	crystm01	smooth-tol6	2	6	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	52862.957999999999	2.3426013441443167e-26
training	crystm01	smooth-tol6	3	7	0	pcg-ic0-cpu-v1	250	0	gate-rejected	3026.8330000000001	6.8011308530208703e-12
training	crystm01	smooth-tol6	3	7	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	134.042	6.8011308530208703e-12
training	crystm01	smooth-tol6	3	7	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	46829.332999999999	2.3426013441443167e-26
training	crystm01	smooth-tol6	4	2	0	pcg-ic0-cpu-v1	250	0	gate-rejected	2258.5	6.8011308530208703e-12
training	crystm01	smooth-tol6	4	2	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	191.25	6.8011308530208703e-12
training	crystm01	smooth-tol6	4	2	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	47060.917000000001	2.3426013441443167e-26
training	crystm01	smooth-tol10	0	10	0	pcg-ic0-cpu-v1	250	0	gate-rejected	3176.1660000000002	6.8011308530208703e-12
training	crystm01	smooth-tol10	0	10	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	142.542	6.8011308530208703e-12
training	crystm01	smooth-tol10	0	10	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	51424.75	2.3426013441443167e-26
training	crystm01	smooth-tol10	1	3	0	pcg-ic0-cpu-v1	250	0	gate-rejected	3629.8330000000001	6.8011308530208703e-12
training	crystm01	smooth-tol10	1	3	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	179.292	6.8011308530208703e-12
training	crystm01	smooth-tol10	1	3	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	79662.875	2.3426013441443167e-26
training	crystm01	smooth-tol10	2	6	0	pcg-ic0-cpu-v1	250	0	gate-rejected	2093.1669999999999	6.8011308530208703e-12
training	crystm01	smooth-tol10	2	6	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	132.5	6.8011308530208703e-12
training	crystm01	smooth-tol10	2	6	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	49807.917000000001	2.3426013441443167e-26
training	crystm01	smooth-tol10	3	7	0	pcg-ic0-cpu-v1	250	0	gate-rejected	4219.875	6.8011308530208703e-12
training	crystm01	smooth-tol10	3	7	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	361.75	6.8011308530208703e-12
training	crystm01	smooth-tol10	3	7	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	49532.915999999997	2.3426013441443167e-26
training	crystm01	smooth-tol10	4	2	0	pcg-ic0-cpu-v1	250	0	gate-rejected	3363.375	6.8011308530208703e-12
training	crystm01	smooth-tol10	4	2	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	134.625	6.8011308530208703e-12
training	crystm01	smooth-tol10	4	2	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	48598.209000000003	2.3426013441443167e-26
